id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
13861574,81911453,Alfredo,Spandau,Falkenhagener Feld,52.553040,13.134752,Private room,20.000000,2,1,1,0
13881216,82150628,Julia,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.511108,13.464314,Private room,20.000000,2,10,1,0
13918467,498957,Max,Neukölln,Rixdorf,52.474274,13.447830,Private room,20.000000,140,0,2,365
13938779,6812311,Valeria,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.513218,13.448660,Private room,20.000000,1,2,1,0
13956428,83114888,Jan,Mitte,Parkviertel,52.556290,13.346379,Private room,20.000000,1,1,1,0
14088868,20907714,Tania,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.499523,13.422174,Private room,20.000000,7,0,1,0
14117363,33226272,Antonia,Neukölln,Neuköllner Mitte/Zentrum,52.468254,13.436789,Private room,20.000000,7,0,1,0
14203774,86192617,Micha,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.497082,13.423040,Private room,20.000000,3,10,1,15
14362551,72905027,Annika,Pankow,Blankenfelde/Niederschönhausen,52.591484,13.410317,Private room,20.000000,5,2,1,98
14371384,9443161,Moritz,Tempelhof - Schöneberg,Schöneberg-Süd,52.487717,13.345759,Private room,20.000000,3,2,1,0
14535134,27064434,Sophia,Charlottenburg-Wilm.,Neue Kantstraße,52.507484,13.296805,Private room,20.000000,2,2,1,251
14583717,90401534,Janek,Tempelhof - Schöneberg,Schöneberg-Nord,52.493004,13.366208,Private room,20.000000,1,6,1,220
14678534,52778138,Charlie,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.521870,13.445132,Private room,20.000000,14,5,2,0
14842145,59073111,Konstantin,Reinickendorf,West 4,52.564301,13.325727,Private room,20.000000,1,20,3,4
14864865,65201566,Tommy,Mitte,Brunnenstr. Nord,52.546780,13.393361,Private room,20.000000,4,4,1,0
15416189,98778193,Martin,Pankow,Weißensee,52.550194,13.447021,Private room,20.000000,3,1,1,0
15885999,103019090,Lea,Charlottenburg-Wilm.,Schloß Charlottenburg,52.516155,13.300031,Private room,20.000000,3,2,1,0
15951631,41259734,Florence,Tempelhof - Schöneberg,Tempelhof,52.460861,13.386347,Private room,20.000000,3,4,1,0
16123094,44257772,Lukas,Neukölln,Rixdorf,52.471668,13.446698,Private room,20.000000,2,3,2,0
16155143,3604330,Rebecca,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.488911,13.423779,Private room,20.000000,2,2,4,0
16170376,8500576,Amirah,Neukölln,Schillerpromenade,52.465298,13.426500,Private room,20.000000,1,1,1,0
16181237,76845903,Luisa,Reinickendorf,Ost 1,52.563862,13.371601,Private room,20.000000,50,4,1,220
16188406,105337889,Monnos,Charlottenburg-Wilm.,Charlottenburg Nord,52.538658,13.281577,Shared room,20.000000,1,29,1,309
16227705,84874251,Richard,Neukölln,Reuterstraße,52.491409,13.424580,Private room,20.000000,4,12,2,0
16307669,105951060,Donnie,Charlottenburg-Wilm.,Neue Kantstraße,52.501656,13.306190,Shared room,20.000000,1,39,5,270
16541895,5078966,Thimo,Neukölln,Rixdorf,52.479946,13.439752,Private room,20.000000,2,7,1,23
16611253,109527844,Julian,Mitte,Brunnenstr. Nord,52.550648,13.380360,Private room,20.000000,3,5,1,0
16810889,16937088,Petra,Neukölln,Rudow,52.423290,13.485216,Private room,20.000000,1,35,4,108
16966762,35362682,Andreas,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.520760,13.456302,Private room,20.000000,2,3,1,0
17026133,49810575,Matthias,Lichtenberg,Neu Lichtenberg,52.503555,13.480457,Private room,20.000000,2,1,1,0
17101853,68851873,Marlon,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.487568,13.375342,Private room,20.000000,2,11,1,0
17153026,110678407,Andreas,Treptow - Köpenick,Grünau,52.423267,13.576920,Private room,20.000000,3,6,1,0
17248175,116070703,Kira,Treptow - Köpenick,Oberschöneweide,52.467319,13.515246,Private room,20.000000,2,67,1,22
17295343,32918,Patricia,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.514942,13.453053,Private room,20.000000,7,3,1,0
